first_name,last_name,email,date_of_birth,home_town,math_score,literature_score,english_score
Minh,Le,minh.le88@gmail.com,2001-03-10,Bac Ninh,7.6,4.9,9.8
Nga,Le,nga.le17@gmail.com,2004-02-05,Bac Ninh,6.5,8.7,4.5
Long,Tran,long.tran93@gmail.com,2006-12-07,Bac Ninh,6.2,8.4,5.6
Long,Ho,long.ho96@gmail.com,2001-05-11,Hai Phong,4.3,7.8,6.7
Long,Le,long.le12@gmail.com,2000-05-30,Da Nang,8.2,3.8,6.3
Nga,Do,nga.do67@gmail.com,2003-10-18,Hai Phong,7.2,9.0,9.4
Nga,Pham,nga.pham85@gmail.com,2006-09-05,Ha Noi,6.7,9.8,4.3
An,Dang,an.dang80@gmail.com,2000-02-01,HCM,7.4,6.6,9.6
Minh,Phan,minh.phan74@gmail.com,2006-10-14,Ha Noi,4.4,5.2,9.9
Nga,Do,nga.do34@gmail.com,2006-10-02,HCM,9.0,5.1,9.5
Hung,Dang,hung.dang92@gmail.com,2002-03-05,Da Nang,3.4,9.1,7.8
Mai,Tran,mai.tran13@gmail.com,2003-09-20,Hai Phong,4.0,9.8,3.4
Tuan,Tran,tuan.tran6@gmail.com,2001-09-21,Hai Phong,3.7,7.2,7.5
Hoa,Ho,hoa.ho7@gmail.com,2005-03-29,Thai Nguyen,3.9,6.8,3.2
Minh,Phan,minh.phan9@gmail.com,2003-07-09,HCM,3.0,4.5,3.1
Minh,Trinh,minh.trinh94@gmail.com,2006-10-11,HCM,3.4,7.3,9.9
Hung,Do,hung.do33@gmail.com,2001-01-25,Nam Dinh,7.3,5.3,3.5
Nam,Phan,nam.phan100@gmail.com,2003-07-28,Hung Yen,4.1,3.7,3.7
Tuan,Le,tuan.le61@gmail.com,2002-12-02,Hung Yen,9.8,8.5,3.6
Hung,Phan,hung.phan47@gmail.com,2004-03-07,Hung Yen,9.6,6.7,4.3
Hung,Phan,hung.phan57@gmail.com,2005-05-21,Hai Phong,9.2,8.0,9.8
Mai,Pham,mai.pham2@gmail.com,2000-10-14,Da Nang,6.3,3.7,4.7
Nga,Tran,nga.tran14@gmail.com,2005-08-05,Can Tho,,7.4,8.3
Mai,Nguyen,mai.nguyen95@gmail.com,2001-12-22,Thai Nguyen,3.6,4.1,9.9
Long,Do,long.do53@gmail.com,2006-02-26,Nam Dinh,7.0,6.9,9.6
Lan,Phan,lan.phan18@gmail.com,2004-08-20,Hung Yen,4.5,5.8,3.8
Mai,Nguyen,mai.nguyen27@gmail.com,2003-08-08,Thai Nguyen,5.1,3.3,9.6
Tuan,Tran,tuan.tran98@gmail.com,2005-04-15,Da Nang,6.8,3.9,5.1
Lan,Pham,lan.pham55@gmail.com,2001-11-27,Hai Phong,5.3,3.5,7.2
Mai,Ho,mai.ho52@gmail.com,2002-05-27,Da Nang,5.9,8.6,9.5
Nga,Do,nga.do15@gmail.com,2001-04-28,HCM,5.1,3.3,7.5
Hung,Phan,hung.phan71@gmail.com,2005-03-27,Bac Giang,9.0,6.7,9.6
Tuan,Le,tuan.le50@gmail.com,2001-08-22,Bac Giang,5.7,5.5,6.5
Mai,Pham,mai.pham75@gmail.com,2004-11-27,Hai Phong,3.9,4.7,7.8
Minh,Trinh,minh.trinh20@gmail.com,2002-02-28,Bac Ninh,3.6,5.7,7.5
Lan,Vu,lan.vu40@gmail.com,2003-02-18,Hai Phong,7.4,9.8,7.8
Minh,Do,minh.do78@gmail.com,2002-05-17,Nam Dinh,6.7,6.9,3.8
Nga,Bui,nga.bui21@gmail.com,2006-06-24,Bac Ninh,3.3,6.3,4.0
Long,Pham,long.pham45@gmail.com,2006-03-11,Bac Ninh,4.2,9.0,4.2
Lan,Trinh,lan.trinh29@gmail.com,2000-02-01,Can Tho,5.8,4.3,6.4
